Year	LayingAP	LayingCP	LayingEP	SOI
1951	NA	NA	NA	15.38
1952	NA	NA	46	-0.69
1953	245	260	NA	-2.28
1954	NA	NA	NA	-6.8
1955	NA	NA	NA	4.08
1956	NA	NA	42	10.58
1957	248	259	NA	10.73
1958	NA	NA	44	-3.89
1959	242	NA	38	-3.2
1960	NA	NA	NA	-0.04
1961	NA	NA	NA	3.83
1962	244	NA	NA	0.8
1963	243	261	41	5.4
1964	242	NA	43	-1.95
1965	244	262	NA	6.28
1966	NA	NA	41	-8.43
1967	NA	NA	38	-4.24
1968	243	260	44	3.2
1969	244	NA	NA	3.02
1970	NA	NA	46	-5.38
1971	NA	NA	45	3.93
1972	245	261	44	10.95
1973	245	268	50	-7.35
1974	243	NA	44	7.28
1975	246	259	44	9.9
1976	242	262	44	13.6
1977	246	266	43	1.11
1978	248	265	43	-9.9
1979	247	265	43	-1.65
1980	246	NA	51	-1.91
1981	247	NA	45	-3.08
1982	250	NA	46	1.8
1983	249	264	NA	-13.05
1984	NA	NA	39	-8.33
1985	243	260	42	-0.11
1986	244	263	45	0.86
1987	248	261	44	-2.38
1988	244	263	46	-13.08
1989	245	NA	47	7.82
1990	248	265	47	6.77
1991	249	NA	47	-2.19
1992	247	264	44	-8.78
1993	247	269	41	-10.38
1994	246	262	41	-9.47
1995	247	263	47	-11.93
1996	245	263	46	-2.27
1997	247	NA	42	5.69
1998	246	262	NA	-11.67
1999	246	263	47	-1.08
2000	248	261	43	7.95
2001	246	263	47	7.8
2002	244	NA	44	0.53
2003	248	264	43	-6.1
2004	245	265	45	-3.14
2005	249	266	NA	-4.82
